latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.47915,-93.45842,311.06,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.38,0.62,N
19.64678,-102.86269,299.46,0.41,0.61,2022-05-08,0748,N,nominal,2.0NRT,288.82,0.35,N
19.67243,-103.37939,298.68,0.44,0.63,2022-05-08,0748,N,nominal,2.0NRT,288.36,0.97,N
19.67206,-103.3753,301.39,0.44,0.63,2022-05-08,0748,N,nominal,2.0NRT,288.38,0.64,N
17.62218,-88.61344,310.84,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,285.64,1.99,N
19.67243,-103.37704,312.64,0.44,0.63,2022-05-08,0748,N,nominal,2.0NRT,289.97,1.7,N
18.38515,-93.30947,325.94,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.63,3.07,N
19.63194,-104.16786,328.16,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,292.01,4,N
19.63245,-104.17373,300.28,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,289.55,2.43,N
18.96961,-97.96262,314.12,0.39,0.44,2022-05-08,0748,N,nominal,2.0NRT,289.84,1.85,N
18.96946,-97.96271,315.96,0.39,0.44,2022-05-08,0748,N,nominal,2.0NRT,290.44,2.03,N
19.02523,-98.62302,348.9,0.43,0.46,2022-05-08,0748,N,nominal,2.0NRT,282.76,18.38,N
19.63184,-104.16617,325.53,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,291.77,5.06,N
19.02097,-98.6232,323.51,0.43,0.46,2022-05-08,0748,N,nominal,2.0NRT,270.94,3.7,N
19.63235,-104.17152,306.21,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,290.24,3.66,N
19.6255,-104.16425,342.85,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,292.37,5.06,N
19.62661,-104.17612,301.04,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,289,3.66,N
19.62074,-104.17919,325.74,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,290.93,2.8,N
19.61883,-104.15881,321.83,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,290.82,2.76,N
19.61838,-104.15404,301.25,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,289.8,1.33,N
18.83789,-97.27256,309.66,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,285.93,0.87,N
19.61549,-104.1891,301.86,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,289.08,1.38,N
19.61482,-104.18187,305.28,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,288.97,2.8,N
19.61259,-104.15794,300.98,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,289.18,2.76,N
19.61218,-104.15359,304.02,0.5,0.66,2022-05-08,0748,N,nominal,2.0NRT,289.49,1.33,N
19.39197,-102.47513,298,0.38,0.59,2022-05-08,0748,N,nominal,2.0NRT,286.71,0.17,N
17.75064,-90.42004,342.6,0.43,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.9,5.88,N
17.74994,-90.41601,325.6,0.43,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.05,2.15,N
18.76274,-97.17864,297.96,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,286.84,0.52,N
